mes,dispositivo,usuario_activo,usuario_nuevo,sesion_interaccion,porcentaje_interacciones,sesion_interaccion_usuario_activo,interaccion_medio_usu_activo,numero_eventos
enero,mobile,318094,244723,326857,0.5670760000000000,1.0275479999999999,115.17275100000001,2882882
enero,desktop,82088,46518,102673,0.6629110000000000,1.2507670000000000,238.92431300000001,787321
enero,tablet,1834,1431,1834,0.6137880000000000,1,140.64394799999999,16702
enero,smart tv,4,4,1,0.25,0.25,8,18
febrero,mobile,305521,218892,304278,0.5640130000000000,0.9959320000000000,113.55027300000000,2747142
febrero,desktop,87742,47932,113889,0.6674030000000000,1.2979989999999999,254.56556699999999,861670
febrero,tablet,1792,1369,1758,0.5965390000000000,0.9810270000000000,121.77678600000000,15899
febrero,smart tv,5,5,4,0.8,0.8,64,24
marzo,mobile,310245,229475,300658,0.5386190000000000,0.9690990000000000,105.0522140000000,2684948
marzo,desktop,85513,47692,103772,0.6520140000000000,1.2135229999999999,219.4313030000000,775406
marzo,tablet,2138,1685,1820,0.547039000000000,0.8512630000000000,109.63377000000000,16904
marzo,smart tv,12,12,7,0.5833330000000000,0.5833330000000000,98.5,62
abril,mobile,313879,228920,288115,0.5200500000000000,0.9179170000000000,97.6464940000000,2577710
abril,desktop,76752,42716,90807,0.6472390000000000,1.1831220000000000,207.6982880000000,670028
abril,tablet,1846,1403,1583,0.5384350000000000,0.8575300000000000,104.20639199999999,14346
abril,smart tv,10,10,7,0.7,0.7,68.7,50
mayo,mobile,314353,232131,291204,0.5151410000000000,0.9263600000000000,97.18569300000000,2635097
mayo,desktop,81195,45891,93418,0.6210680000000000,1.1505390000000000,214.59187100000000,723326
mayo,tablet,1954,1485,1820,0.5542020000000000,0.9314230000000000,127.953429000000,16900
mayo,smart tv,6,6,2,0.3333330000000000,0.3333330000000000,16,20
junio,mobile,325576,241303,319602,0.5318470000000000,0.9816510000000001,111.07678400000000,2862242
junio,desktop,87915,50547,105901,0.656571000000000,1.2045840000000001,233.92415399999999,789918
junio,tablet,1910,1480,1686,0.5343900000000000,0.8827230000000000,115.04973800000000,15610
junio,smart tv,4,4,3,0.75,0.75,44.25,27
julio,mobile,347997,254481,364623,0.5508220000000000,1.047776000000000,114.69074200000000,3253880
julio,desktop,110908,67294,124400,0.6042530000000000,1.121650000000000,219.05085299999999,997132
julio,tablet,2108,1607,1933,0.5715550000000000,0.9169830000000000,118.26992400000000,17763
julio,smart tv,7,7,3,0.42857099999999998,0.42857099999999998,39.142856999999999,28
agosto,mobile,283813,205576,272430,0.5410710000000000,0.95989300000000,95.86405800000000,2404763
agosto,desktop,80961,44681,95847,0.6282540000000000,1.1838660000000001,190.78342699999999,702980
agosto,tablet,1656,1241,1484,0.5621210000000000,0.8961350000000000,97.07487900000000,13244
agosto,smart tv,5,5,5,0.8333330000000000,1,87.2,57
septiembre,mobile,268477,193971,255810,0.5392270000000000,0.9528190000000000,97.68830500000000,2258649
septiembre,desktop,77365,42397,90267,0.6280970000000000,1.166768000000000,213.25918700000000,663679
septiembre,tablet,1691,1263,1497,0.5596260000000000,0.8852750000000000,106.46658800000000,13706
septiembre,smart tv,7,7,6,0.75,0.8571430000000000,18.571428999999998,34
octubre,mobile,297751,212413,283853,0.5443740000000000,0.9533230000000000,101.00080600000000,2529642
octubre,desktop,86910,48957,107613,0.6289660000000000,1.2382120000000001,224.2327350000000,799047
octubre,tablet,1799,1399,1607,0.5570190000000000,0.8932740000000000,109.94274600000000,15238
octubre,smart tv,3,3,1,0.3333330000000000,0.3333330000000000,248,10
noviembre,mobile,296462,213118,297209,0.5645770000000000,1.0025200000000001,105.83509500000000,2604299
noviembre,desktop,82683,45499,101300,0.6465900000000000,1.2251609999999999,223.2294550000000,742095
noviembre,tablet,1850,1407,1602,0.5524140000000000,0.865946000000000,104.65729700000000,14913
noviembre,smart tv,11,11,9,0.75,0.8181820000000000,76.81818199999999,51
diciembre,mobile,333836,243081,317980,0.5470410000000000,0.9525040000000000,100.91808000000000,2823146
diciembre,desktop,74073,39855,87063,0.6263030000000001,1.175368000000000,244.33377899999999,671986
diciembre,tablet,1808,1360,1628,0.5575340000000000,0.9004420000000000,103.74059699999999,14456
diciembre,smart tv,8,6,4,0.5,0.5,86125,42

